account,liquidity
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,587349677169540240984461
0x83e7e97c4e92d56c0653f92d9b0c0b70288119b8,13801763424154952877036
0xa3204f77f31b3876c785e90811cbba3c859aa262,8665080733981358773676
0x94e5621fbc9c02822e0733ec996ff3bf2d5edac6,3090231284348110273537
0xdcbc04c11434c474947f6e7cdaa00518d3e54597,573434527067373625123
0xa9236a56770ec28077d93afce0df1f1820c2aa52,420128470654125513096
0x6da0c6b84a8ac5c41f7a30f470f5893f908a7449,387072618278042450785
0x55555e1069dd0bb1113c985b9b42075311fab017,198512460618941856388
0x17c035829ab7176ef88a2b75b887e5c96707eb61,176155706474834513826
0xdebbcc8dd238b1f2685c93a730b5e45e73d4a1a9,176111725008196403285
0x9a9f94ade08debd1b0067702128d2fa8463f9d38,175494725714978982354
0x90e3ba4dd0909c12f8c043888bcd7c8023df0493,175439851177233724378
0x2170921478924b5bb8c6bcc81ebb83f380cc7b0a,175069079750472131298
0x941b424e5fefa40ba7f7ab82e96006e62e578519,174900411022702396824
0x8e00735549166415a0df687b8ef18d35c54ee361,173492034207261551564
0x89f6079b7c007a03b81dd3b13471c0a640db54a2,173126517936231738022
0x3d7b4c231b8c73f51553bdcdcaa5778d1d66e205,172937641851792124381
0x7291242392648f1e5157da7daeb99424ce956508,172430437649152005918
0xe5664ea7f7f1ced4d7c8abc1e44c2bdbc2b3cc0f,172204640348622735002
0x1c2a4db40c3517260b90930cbeade7b022d5c725,172102603879076568021
0x28ebfa20ec0bebfaecd27762e7bfcc4e9c28128d,172060474139892892011
0x21ed871b747c51dd8a075e34d4cfad7bea120a5c,171799728901200641435
0x5045bb81e925551396dc27d11d4b9cfdab4e3c1c,171782839965470907788
0x11f4dbec128b39940d60152557a331dad1cf29a9,171756011961996940361
0xfa54e9693f44ac0345f3261c85aaf2eb804ec4a3,171705445728238670894
0xcdaf0585e2fb10557c0410d3017fa73742f5bd8d,171420868401371749491
0xb85cb5fc31c37d32fe9ded4946acb809808ad2a4,171353619128118703486
0x508c079dba862d108966b1f6984d3c8477433db4,171164640491630115091
0x1d5b0a5a0185ea5ffb47719a9214900c3fa3e718,171113648804493694904
0xd911eac39d14c6a4a9b2f4b9e4dcf31209e880d9,171088043033779669674
0xdd60d9201346de09c71a23856b236e6b77a08850,171075575532308612268
0xe2343509549a80541882d64a618601c480760031,171014451491699213976
0x1c8315de0a7983af1781e30400dd71092d3518bb,170991377531935309527
0x716dfc917fabe3fca0cdd402eeb5184d73f6f8a8,170889563705957018563
0xcc482b1048cac9695f432e1294520c5dda8c6393,170778169649075293034
