account,liquidity
0xacf00a84559f536ba64064a4c73b74698013ef36,286055071832837237835861
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,9356823529184907167634
0x2c349a5386a5b9ddc089df9132c494a2d7424e38,1878699762927317049826
0xa3204f77f31b3876c785e90811cbba3c859aa262,1341903671561519917931
0x2e758e5dac38be0746ded7ba0ab5ec3d08ed1085,1300995154441460406570
0x9dc26014bca02a5dda768113827dd24288fc171d,768442440782133899260
0x9b4cf5d754455fd3bc4212dcff1b085dbcd5b0c0,163417015952287139528
0xa1edcc0e8a7d055652a1eb584780ceadf3b00b5c,130339297952293580797
0xbb2147eca5ad9f75187eebad8ce23f023c14619d,100235669714578678220
0x8a6e1b15ac7681b13d134c0d5baaa61841958751,99319001238988893944
0x4b02d1ee2b6b61e90bd6372db228cbbdfe996d7d,73903140898163608506
0x86e82e13875e32a9d8c57081ba4296490f083e84,46096865854436725022
0x3bf566084e358628b8823b9e3d19878c68f457d4,40052564637773334720
0x1625600b38dfa50e3a29a93d5dd210360630e527,23561279933129383105
0xf0d6c982a9fdddf421d2a1e5a09fd63921f165cb,22295288526455613453
0xf0c6c60e6ba687c35ac4d13455fcaf3cdb6f5c8a,22293654114053582895
0xed4b17e5a48cbbc8684a0873c02475e54f3ee915,22292020060692481906
0x84f9ee54282265f9e9c90cece8bd8cba585319a1,22290386366240899794
0x4b7c891d977e674112253976b8c34c69ef2638da,22284152326583488749
0x1d8775623df5469116ece78b55a97bce8424b899,12510685448586838292
0x04ddfad521fce3c61863bc8d60d344d4e32d6018,7370929975325482139
0x0996b1f645151cdf9d90ddd34c8d47a075ada679,6634955713102305041
0x3472194784ee8fab5ccb206b9a51d3ca01d3b91e,5865586622582944011
0x87bba38bd92f6aef5f261f7233a6b2a37e6c6734,4371068947022576600
0x61e5f943a29f4d26f6324392c3b3f01aa145452c,3827524588954014912
0x0740655604a8d15dafd78d4dfb335f4e8016b369,3719770486850687332
0x6717810f7f2674e7d35f28733d777c61464af0b5,3423744343037700952
0xf3b93bca534bb323e8e45da86b5f9d2a2d2000f2,3406360773885400755
0xec40fd8955bcc49e09f0b77fd1b0631f07007c18,3041015261981071040
0xc1ac66739521d3702447744a96c8ac84de9786d6,2961688993714833019
0xb61a908d818df761efe0263651bd4d5e75196635,2890831923270503241
0x3ae3a0a72fc71e30b9f384be0989dc9f9c3a6919,2880972058177585699
0x9605dd40d5e63e9ed25af9f492ed93569ea56f56,2862043332172982817
0xa183375bb0401106dcf20d5c55b7733ca5676ca4,2859871596712678970
0xf1c74463b251e88f7fbc579a0de2178d22f94894,2782264085159852033
0x120ac1b0318baedea44505910401705e5287d4cd,2774945996252318805
0x1697639be54a0076b4c7913a3e3bce7dc616f3d4,2716278111486530914
0xea8bdb4fe9372bb5bb87a4d6f2d6f87eace39a30,2646649772226041202
0x0f8f024ba552bc84873a1ef69dcb1cad73445e85,2636441767653748372
0x5a469eebf25cf64394ce762ab185541fbc0073a0,2523954955639315401
0x0bd216ca6677e25b64abe93fe00fad75ac899e40,2512540383678156153
0x01a0eaa83c479905dfe4103393907f6a1af63ad8,2504539367061928484
0xa260d88f951f53e38c99f43c8a6bf52df89334f7,2504517787006010637
0x08c9cac8d655558dc1fc6d246870245042092328,2400180857395617402
0x9a12d6009b3d94286dada557e27659c41615ab43,2343341854738351093
0x5fe73710d626de43ed3005ef7d55b8eea0ce4a14,2308829481645306763
0x6eabce566dc7d2450dbe5c48494008174ce8bb9d,2244696287203854130
0xec011895818be25cc6e84ec30c589931df7c578a,2120220764327529692
0x8e4801259fe0055103ca20f4677ff02ba276a10e,2101595188400786003
0x0eeab7c93c6e5e397f05298e56314cca1efa0c42,2074984396346881185
0x02af26b0620a6c5046408533ea296faab09d935c,1919188068279009920
0xd80d198ed3e2a6c34124428708a4dd679537d83d,1905996731690320468
0x447404c95fc0ef77402071a40cf10a7fdb12a803,1884359513931662339
0xb706a330f3ade777d26fd02973f332aeef91bf63,1861471325679696441
0x796df786bb2e616bcb2b0d65bd131782a3a0b44c,1860036314897956592
0xfe09a44836c86864b26c18c4ca1a267a15d7336b,1851143603799081507
0xbad4039ce414c47521f8c9e841a00daab380b6a5,1850187451640618777
0xeb41acb7cca431cf7622fe242478e2cab38e061b,1849506066156309968
0xe046f488aef0f850b6eb9bef2764f5e318a5531e,1849100009188993304
0x687462b87eb21df33b54fe60246736f437c6e681,1847578173734367322
0x71ee195c2157f16d52a97198352938a14f4a088a,1847484494419732048
0x32ad079673abcadd0488ee49755a8fcdd4ffb8a8,1844377362005730427
0xb204ecb345bf938747864c6e2037b4ee77efcf74,1842627923019202862
0x889c9da0d612df81abbf75ab9f2237ea8c725c8f,1835090243871794465
