account,liquidity
0xeb1c3f49817fbbbce87a48540d9f9991bb95ceb8,353553390593273762199422
0xcf88c881c791b6879a9f1421b57245c3e3008038,97937921338889673187
0x9d43d9bed1487757af5c2dcec39bd334e28d645f,30240974417071370050
0xc85fcc44005a1d24142c6b347a0256b5e9306c10,7159619280774462679
0x835f29d0c4eed29e0f90b7cc11c00a37bd9d6d50,4736317219586842431
0x13a3e665c4add79315abcebecdb670ca480a3b20,3408250277470720567
0x104db1741130fa608d5434d6b3e44a36517ded83,2232850634266470925
0x2d3d5b1da38a65a02a739b82c5559842baf5a4ff,1401236413721014117
0xcacee869bbf53cc6f77a096f2d94ac5e5e6035fb,1276502033880206143
0x0d24b63a271b114f6492d7366f24843615634d1a,513927189316165065
0x62c3b7f819f6abb662d2930ace8aa66e488c94fb,512178419925828103
0xf033953a98008ba347935d37bd3080273dac7c5e,505861799380867210
0x45ef013fd3faf2f1f43756de207214fe69156079,259953920913855114
0x4cea67e033d35f4cd2ac63513cb3eb10a417b7a2,259060253911746649
0x3e13c7b7c19ecb66af9ec27519b0029f0a718f55,258754722937578409
0x8c561dfe97b115a7a400db53007b36a53733e589,258558568045886436
0xf06e3566d10472aee7fcfe507a445250da043692,256885041131150726
0xff7cbdd5592f56631d180fd66493dc325c86fa65,255729064095424450
0x29a4abe5cd0f23af03ae9022212583ea991aed73,255493212461383100
0x54fb6a27d6f9254c835bc8565b48d47138144e75,254120467961444266
0x263a3bf1839c004a19dbff7ad288e87eaf07ca7e,253953355552813611
0x1e5be11770be13d0c9a401dba9729b0ade962e1f,253569302461528766
0xe7e184283e78071c3d52238314d691735b84d794,252148486446626117
0xf98114fc862a0cb22854268e5c7b589cc9ae7df2,250568726845368740
0x0f30e08e5ab6f56c8e000cc171bc78ad982a474e,229425164894968635
0x9b80e8f61354a36d770b7607a27862410a7e2c15,71428067082141675
0x73d2734839c88d44b65fd9b5987b3b25417ca1f1,51392625259492279
0x30825b72368853eb95ef9a8620ebad311454f776,28476674630538768
0x8284077d324ed82ca87d860d6ac31b147448abab,26961563175030290
0x75733587810a0d53fbbc0a99d142357684a9f225,26838688842955562
0x7ee43dbd52032363e62f3f6bafa8e361825b296f,26450046397353520
0x6e46c4bb26b54c965eacb66d6fcfd21d84eb45f9,26450044388860132
0xcc2cbd79b300ace4dec28985d59cf245cdfa6124,26449966781465826
0x40ea0d86eb491e4627474a655d5d321292f6ae6b,26436432832081932
0xd7bf5927e1298b746e37bec78ac211db737c6653,26436428866742822
0xfe95a31bd589b817b60a80ea9addfbc423657d35,26355975258933398
0x537d0275af1e7073f4445cbc8b0936c532526e18,26348827745046774
0x7f070984b59fc3ebe8e8f78d05a44300b870e8b9,26225833678688793
0xa97fbb0950cb323e6566d9c170e7e2caf760d374,26218367401254437
0x0123aa30274e0237ccc617045de905771c13289e,26164148372142838
0xa48cd71c4d80816864d32a65371657f11f933cee,26164136075862254
0xc8ed92b8900053a89d855ffc16a199f55c9589e4,26148710305643341
0xbc34758e97329654adebc3fe3c3aeb71ccf1454b,26104795953627471
0x7b8a79e28f785070a68d3786735e4a42bfd18624,26075571155718586
0x724f7057c700a857e50eae62663f6ebc6e39258d,26075567303669021
0x8cae81eada815134c1f6439a6b95cb07c0da9f07,26075565374751145
0xef5f5d15b2f9ca95f077913e84f0fca32d9214ec,26075563445833843
0x81eba12c423f4f15dfa56f449216c2877dcb55f0,26027338552397837
0xbbd5d4c9c3ad86b79e59286620908b57baac4996,26025942758864666
0x1962989cd60faf95d38dd13bd618a11193476671,26025940837281104
0x6868f772ba454166b58f99e1f3b7a182e3e0f022,25889186685750539
0x777d583044aa8f81fbf2525bc316608d0d37b875,25887890036885394
0x989d9c156140dfc6fa282c8f6942b501c8c78442,25875065691080023
0x5a306de5db7235762a4be7b237fbccdaa99de117,25861200593321638
0xe9effcc73bd99d962ee0f4fa030ffd5d37ee0d5a,25861198695996243
0x8e265b39d39901bfbf57b3d74fa76120754811e5,25847832204224538
0xcf315bec03ddd673ef9a215069a3389f91973fa0,25843942891238810
0xe92980a9973c3a13ba97a734e9c6abb50d57fc76,25777740941023149
0x0e3bda6189c5f7a0643f599e80256287baf10414,25777739055924560
0x99cc355cda3ece11acdd38f5d5daadafa63b0a88,25696366958698759
0x8e9fe56e5baded584fa259ed3d665e058b12eb3f,25696366953078682
0x1b773b6247b05445751450cb007d97e851aa4c83,25696363212252756
0xd446148c52c8303b2aa7636ed44f4d97e8a365db,25696361339030230
0x8f4b158f89c45f154261dd1217c4546a0e74cd6f,25696320128215358
0xf596172ed31bd891a5f3f98696c1981cdff6bd69,25696318255002245
0x80e86a56b2dc2b84f7fd2fa88dae9416567ceb44,25696312629745729
0x03d3062805f8af3d4adef6ef5b076f90a125a1f7,25696308883321696
0xeb12e1dd54677f4f12bd9b6df6259f57042a5e61,25696305136900250
0x19c4946df405c4b419d2c7b580e873201d28aca6,25696301396100204
0x513807545f906ab8eb47744f9adc7bfd0c7984ca,25662620892574239
0x445ed97811b2a100df537b14c439eea77b915441,25650472939679893
0x8a48e9f14f05decac10c5206499eff29734c8346,25618129846318714
