account,liquidity
0x6429303b3c394be140e81a56bfac87c1c2267e45,32495186700704733249827
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,25832136068014426998252
0x25b5e511cadfb756b5e86a4d39e3bfb6be1c4079,20256099739105946998205
0xfe7bcb3676aabe9a6b39cb23f3a5fa41eed7ad1b,1893899758839584048598
0xa3204f77f31b3876c785e90811cbba3c859aa262,113027213570710599131
0x4fd10cc0cd952b53fbaacd11c7da9733289b3f1d,86220832538444415421
0x49eb81cc817cd5a1e8df590f43d5a0a0f432251a,7100050639241515668
0x2083f4758050f572dae28c8ac8794b74efe5035c,6690303464324537941
0x92f1a54835436ad1858018f11d017fce31756c17,6553111646636103932
0xcacabdd9e60a4474ef57108443aa39de9338cf6b,5788712728251475350
0x75cf55a1a228e691342521b01a7de4e113fac30d,4305977986714373382
0x1de19c4dd273abaa43bba37ebbf4f050cce0b186,4251872497759463465
0xa9138a422817ad190e0cb6ad63e1ac1e8cea1e8e,4166880797959573712
0x83e7e97c4e92d56c0653f92d9b0c0b70288119b8,3905584627884383322
0x5c99d56cb09d8f791a47365f63f49605ff75af83,3658407425926587828
0x6cd1992a89bcdda4a436ad4c7a285269587e9a89,3301629133204718036
0x5819683ad7ee80bc8a59c7e2075559a2908a6bda,3301195981795996579
0x2ddb19177b2d891e52d4ea2479ecdce558349fff,3183318733590335868
0xe01fdaf95c6c55bd30b25d03ae7a4665a34e6b1e,3183116947782830674
0x1fd17147ede7d3d1053ee50dfcb572c5a4d9f7fd,3175310013771691544
0x15ebf6fbc1f836fc7bba6d574d919af0ac74d9d2,3175109267349367378
0xbc1053bc2902d62ecbebec6e63e4567c5c2545e4,2769882222222863439
0x8edd8fb42b282c439207dafff6c905360e8abaf6,2750345537334348002
0x87b36fcdb3fc65c19a5f4602a7e3e31704b81248,2750021819862675784
0x3ad4da56b0829f488b0c08cab52e7a5ca29426e1,2749916095621807636
0x6b0575e5c271b9465ff596997f20211ceca51b71,2749665211354001643
0xb32e1598a76eefdb0bb1918116240b73670fa006,2597889936956291998
0xb02e616451e8f319de59a9efd74b72dca5ac8446,2597666075347461699
0xb2ef0724f1323d440f768f3192b7dc3142b480f8,2597442271543305463
0x89d74550fed73d7e3426ff2e9fca7fb389113475,2529552746897240560
0x3b1df5c5f59cd1507c7f581935f37dd505b62eeb,2172078568245130802
0x207524183c21bc77b074cdb4c6e31fcc0b0416c9,2081581228932049160
0x9acd4c579ce5fa2695ce6f7e2a8e51265ed5ad51,2081456655872648655
0xaa369c30a28cc00d7bb6939f2ca18ede0e29b4f3,2079848132265876315
0x80ceb2737591a25bfc34c0441dfa0d844f71800e,2079723862942320835
0x33ab63a788dc438755f0933657d57f5a94f86400,2079599615869266997
0x8f546edc532a06c6f44da09e0e6d37a5c59273b2,2079376030746720364
0xaf1261de133e6251a484a996ccf9d51ea39edbb3,2079226424935331359
