account,liquidity
0xde5914a97cc5066751624f053d719f67a4d69383,1089208751626000000000000
0x7387e578788e03995f39455644f8794733ec1814,2890317977160400664028
0x9dc26014bca02a5dda768113827dd24288fc171d,1760350664393689219075
0x4e772af7ebd59018fc7b807091744f926d8001ae,1400865992351420307009
0x426e30e1b9b9ab1a381e5795aa9c4c87146cf95e,1225159900864346712934
0x882802e24e5cb07c2e892e29e414ed6f79e5f364,605407960307821982572
0x0dcbedc9fc5fa95f33e27ddf57080241e0c6a6b6,565678728412623916464
0x56a665d99ea4f63f6ce979ecb42efe103f6bbd1e,392515988917498175604
0x7ca9e089c627b297d66574f6aeb6f9ad57d7e2a1,352725298989619976584
0xe12b407fcac9ea8ea1d2ccbeaeca1a04499a0637,323908001805740144642
0x9b4cf5d754455fd3bc4212dcff1b085dbcd5b0c0,259151740403049855365
0x4fd10cc0cd952b53fbaacd11c7da9733289b3f1d,230452230932055231076
0xc0963bcab24a7ed865178f45f91ebeb88ea9ae47,198312266211769992759
0x7aa15d69f68e093ee5433a1b9d4308f5769d27d6,145310346844840579956
0xb4b929d35e18b7504c6ace20c40de3acf57fd26c,145159707447261863880
0x39525e5cb89a6d4a7cf43e303b698bf5ac6f0903,125031525862109432228
0xfbc3be90daea04123543118836c7659ce5398066,94346749856119816826
0x133403dcd3cc491511a0571a2792997e57393b4d,71348722017619365647
0x86e82e13875e32a9d8c57081ba4296490f083e84,66251512932179883464
0x1db6e32c368dc3abfffb660492c7671110d1a88c,65319134234840880006
0xb5beb8e0012064bbd19c524eaeae41938f632e2f,57298661752084308802
0x1642cbde749bee89fb6c7b6c1e0085a208e9df8a,54561684872780162570
0xdd8ebd86896f7aaad8469fa92ffd34b2d7c0c510,40962258608130573539
0xe997ade6fe748c6d0b0ec2cf57e8fe5064e4ebfe,34845368164767078384
0x074b933b178bc630d26dda320c4030d6b99199db,32365935010613719490
0xf23aefb632d2242cafe35a44c0156008142b947d,31347759466559623584
0x8a6be42974ce1f1872eb7b5199505e1460008252,31026378673570858958
0xa9653cf422527830edf2175fdb923d2bed8c400a,29523080929470089024
0xf74dd1da586948eb6b2bff7b1ba2a6db4de9f7ff,26619614532309834734
0x966be996ff9dda291de0a0330cb01f668ef0daa8,26312896793300836117
0x3e2c97acd89204251dec9448afb14f53fb62c94f,25820086996215178712
0xafa999a95abc5ae5aceb0c4243b5bbebe6e5baa0,23711734003945060553
0x774445670104d59f7b66b66c9458d6de1a13ba81,23495540957327783872
0x9b75c6abfaa486696934e200bf3790d0fa8fc567,23376471050490768767
0xe97a0e46f12e62891dbef9256517ce4eade01d7c,23180575777883982936
0xd5d5532778c5f8767e1d9b7060cda4ce4583f026,22945326856942609179
0x47df1f93ad1f68dcb7b6f8ca25cc9bdf37bb6b22,22939297744236094744
0xb225399fd23765f74fa871925970eb4942e87581,22154476570299478334
0x97d5318948cd7b9cd131de19a13ad489b09b2fea,20412362579822008004
0xf91568f8182ac5742bb68517df978a98383e6ee3,20356917421985235823
0x0479588893fcfd2d4898484abfdf0092fae3ca0a,20027105737862990530
0x2ba6b2ffcd114807690dfe816d71e2bf55344afc,20000000000000000000
0xaa6ed86fcfe4c9bf71b2310dc6f8dd78d9e3b5fe,19931871635804544232
0x82f207055b2e231d19f6a8ee84f0c4aee14029a5,19287166565215670043
0x3065c8d584a603739e733b5bf8fe2456865862c3,19270671998221200998
0x7ab75338aa1ea427846e29efaa1a0fcc94d0ddbd,18729934830322489161
0xa1edcc0e8a7d055652a1eb584780ceadf3b00b5c,18685548205708984455
0x95e557d1ca2db8f95fa4c739349694d1dc9e1bc8,18671941579720474212
0x452cca1d53dcce82440206ca94127dbb7d006878,18456779625149536373
0x6754a9aafb611da9223a6d74f28722079ec67d99,17332311288880727948
0x687c43f3b2318d284304e3e2de8f895006ca901c,17199205918677952854
0x2d3be97667f4072c6cd6dc010876aee98d1684aa,17189836030999274985
0x9cf251e7adedfb4e078fcd214714c849c6e40c25,17173253569737299497
0x47d98ac7ec841a9245a4117f1a4f5c8869616494,16973539669059068662
0xe01ac9fcd2d1cbe7a9a506129c5b7478b61f4a6e,16849460954243531345
0xba58b0dd31840d4e14eecfbf62a13bfac4e6906f,16332377113434170729
0xe637691e74ea9ee4b8e34e4dc3953a10615f6629,16255693240269414155
0x24831ebb97e68a13e3294d9ee0f402ade6ba73f0,16137804392754489377
