account,liquidity
0xeb1c3f49817fbbbce87a48540d9f9991bb95ceb8,130794495297011639945253
0xa1edcc0e8a7d055652a1eb584780ceadf3b00b5c,223791934344265029535
0x7ac36247457dab3abb833accc538a3e56ce538b1,94406997238625545137
0x38bf8aecdec57caf427db579acbaa7b2becdbf06,85617906704977346709
0xe500fc63aff30f9fc9be8892fb5751d70972a794,85617443905481644128
0xdd5efa804f17e04a9a855af113b36b5f8680e863,49914104391862470724
0xdbd6278a9862ffaea3528faf0433f322f151213b,22277962890521852054
0x34b700c4c8ab4bb9bd98f531bc7d457f568b236a,21370526996620657229
0xbad48368f793c95fe3a38c4de7181567d8584cea,19583911103370590903
0xdc2f2b4601126add8e22fbe2bb8cb0b4bac6d27c,17558465977263307031
0x03197abad8079143a69da8d037b6d69bca469bcb,10014110019578790638
0x13304149bb89649a303be70740806a94c8291919,9983790745281936916
0x697df2facaced4780d6d877194f095c315cd747b,8406343626556154358
0xcbfe417a080420c35f52750c6d0c98fb2322d45e,8359699280038893346
0x9434e2764d291ca54232205456a72e2b17a043b4,5696149327773619603
0x326775b03cdf40f3953ceb49557460f84e208cbe,4743763190878124504
0xc7e8c5a0798addcf64f413e75de96d3a21c1d23a,4255325074326267312
0x201db173b7b998149b13dbc56058dbab80656092,4237000598071542707
0x72b8a72d5c2efb2d0fa895398f210fadc669b416,3079780322105750661
0xe6d4c7999227c5767ccc1a2b261c22b4d3fe687b,2820798693357619624
0x952960f94accc7bddee6edf3f4870d444e70869e,1950556664508809942
0x101ab9b9869554a49676ccb92fb07856120721d0,1863891078425853975
0x67dc4c774bd06fdf71027c36f485f8ec9e873797,1722215553208596899
0x9affbbe4569c2f77e18c0eec6f2d22afc9ec3888,1339937443384333086
0x83f70d5c3365021811afd81691c5233ee03206e3,1170663092377654291
0xe8875795399d3592f18423ac5b3a27a2058653ba,1170652640086657002
0x59bcd6f0e2695ca2e54dfe84b1b46428ba761a08,1045136222435809740
0xf28c4ec3792232e5ecd094db0efc9bd6bea40ca1,814114893040388263
0x4d0bec870201fab74469b3c068a15120f9487cf8,645732604637333324
0x3c48da2970f83b44c7713459abbda10029d0537e,639491935061574326
0xf03acc7130d705371d55645dd4fce5c4cefe88e1,638599453617990475
0x67c382a6ca64a5a2d83d41426fc6267a1d0489c4,626247199940828011
0x5287d5e5bd063ce1a4538ed401ed4059fcd64cbe,605102205474189047
0xae5a04402a73cd80e2e06b237dd5c2a075934f5d,588175553440456810
0x814fb521ca2e52d070078d44ed3aac2dfc18d5ea,584927115368904313
0x0f77c342bee12ffaeaf4b2deac4cfd4a198e3381,501750015002604302
0x0d24b63a271b114f6492d7366f24843615634d1a,501577350597856703
0xf2bca3baeefca379f2622bf09a7363bb203f9ef4,498699065412735639
0x26ca88828b769dc53bbf31bc1c98dd99d3547c57,494287965070628352
0xa4fce60e359c4b829451ea72c17b2cc3d1fd9037,464391428609581675
0xc6047818118c61f6cb497e6a6d80c8fdb2667c2c,434347675537112713
0xdc67dff2612948870defb21fe5fc2ea8819e9c05,425211276342690282
0x335f77d18c0cc468c8977dca2c946a0db310a962,420133283575485750
0x75edcb3da3aac045176a921ca3508bd3b644f892,417501449712475194
0x2bc14923e41aa00870fb06b24c88808aa12eeef9,417063971780116101
0xe44fb4e113223cb3b0a847b15f58d3485ea42aa7,410071914129066977
0xbc2c4e9962346fd59e6ed255b6b303712b7f839e,405576600372590687
0xdee55b4aada18cb5eb69462dc9d1846f05c36755,383217895752965443
0x2cd3d676f4c53d645aa523cadbf00ba049f4e8eb,382468945474538248
0xc8c0ebb5bbd53e14b53a0ccf40f8b85967547d40,377217535268554614
0x03997fab8416f2edbbe1cc97e74964b2cf199856,334498388546613702
0xcc8de86f3324dddcf06b38c660b21bcbf9d61750,299878375492861394
0x388847b229f0a298b6ecb358475924ea5332782f,246547815900975670
0x6590fafdf1d90bc1374985d7dbcfc575d2609a2c,236586777174199766
0xecf21b1135fb9f358119849f33790d720cc5fef2,232645292223239333
0x34e068ec72d86a0ce08740c16704f572f907567b,232644879007884956
0xab42f2f28051722ad7680e23037ab9c041cea252,231900422403638856
0x1c208fcb9d15e0e04a0a579e0f6121e2057ff7f6,220574239033312540
0xb2cee0977bbb0446b358e0cb3de69e10edc5eda3,219161620100597203
0xaa7b0a1efd187173dfa168520a9169a956f7c032,219129351077472075
0xb17d0d2d900800f887e412ac29f4509aecdab59f,179121238118105731
0x6b6aa7df15c879fe456b9a41b1cea0f8dd426fe4,167057011145792147
0xd9330132c98e813588aef4a14d38b5720b58fa2e,136758360133331175
0xd305b5e651d70dbbea0ced5fd509f05dedb0ba8c,135073091818454759
0x35af614b18ac1d136307ca5a1432eab4345c8c13,134581209436120544
0x58a96de871297089e5490ff0920a5e755fce3119,134111709015573951
0xf41c5dbf1583735444bdd522b71efd370f75e0a6,133799491961300912
0xfc0a0383c97492af847582c9df778d91e98ec1a9,119415442912350092
0x06621e7620b4255f6c59b85dd75346f1e68238ad,119413995605489192
0x81c75e7249de85a36ff1103f048dcef162414188,76983180834823714
0x9594f573555cce9f54bac862e7418510cfd00e3a,38279701808693572
0xf3e3e1506d89e513637f0a73b9e141e6ba127965,38279681151934966
0x8cc9e4eecc99943554a4fd661e54f4194c64b880,38279660495193090
0x9f87770bdb2b99460a996c54e61856ccb73c2bbd,38279639838467941
0x4a09e928b2126f44f6c972dcf2534827b21b068d,38279619181759522
0xb4fc645fa45b251db203ae200924f84512d9fc32,38120077165604729
0x13922b62c07b3206b7ac06f037d4879fcc672ffa,38120056637982319
0xe670264032a752cd27b6b0cd78389d8be09ef595,38120036110376496
0x1024c885041add1c1fa8e8b4d76836b0d2492a5d,38120015582787262
0xfacd3b03c5468d78bbad407aec68a745bc963052,38119995055214621
0xa5d157eb5fd8dda0bb1c238d20bbeda0608c3289,37334912591044684
0xdf5604dd94af69f1af5488d908aa5ccc2a5740c7,37334892444092577
0xd2994e94846ef844bed8d03a8aa28e136bccfb6a,37285567070837455
0xe28ec6fc9c3845a784ffa530819ef0026a03fa08,37285546950486375
0x6ffcdc649e8ed04b8aa82ed9618be1d4204d5857,37285526830151588
0x8d060c9a03c33b43150c4a5ac4c4f59448f31c74,37285506709833095
0xcccb9c2ac0b9c81603e789943c8b3468f830b5ef,37285426270739664
0xae7b9839c9fe5e0d5aedf9f7b03ba68c80c8fae5,37285406150502621
