account,liquidity
0x25b5e511cadfb756b5e86a4d39e3bfb6be1c4079,1515408181622906062
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,518802148643057959
0xa3204f77f31b3876c785e90811cbba3c859aa262,6382478863333647
0x92f1a54835436ad1858018f11d017fce31756c17,3235265767052528
0x680c209d5c80a015861e2d0ee6b66108021a79ba,318308500035947
0xb911d8ea77faeacc0949f6cf53c23b741cc0b20d,234876580890439
0xc908b1ed9e33aa8aebb5ee94671378436c3c0c71,168914350478653
0x25c425102f19187aab9a6c6200f8ca256b4d0d79,162934840796456
0x16562e41112bf3f574a82cf17ad04ef3afdcd1de,105396031255618
0x83e7e97c4e92d56c0653f92d9b0c0b70288119b8,102445666861101
0xc31277b30dac7d814df29b248b63adf93dd4167f,92246469252582
0x0a570a5aa7aefad27b3758b229df1a95105a21e4,89989666161050
0x417c729d3cbb52a830d74e9685284b3965e8402a,84838365900975
0x7b3f3e68b17fbc541853bec5a88bb0f3a028409a,81473958464734
0x986eca7648b3f9349cf66831a5367cf3490e232f,77127659925323
0xd0e5122084f90d49cd8ffea056e431f94cb174c3,70916635946322
0xee9f0b215710304fbdc79784bd6b9a8b76052bb6,65549035971486
0x1e16f946cd430467425869014ae25f85413003c4,56683271114465
0x881ac5b459327fb3b102dd92570bd1d1e985c636,55961155434237
0x227d68fcc4e7da8e8118ec212266268aa1204251,52665010565795
0x4299e450884ef0582d5bb2e024aaf4e5b912f10e,50707191260155
0x8a57ae7e0c163b4c4ef1a95833bd9ca06e99d1ae,48424249658933
0xd33b7f0a0a8693fda6de272ea31c19cf161ac81a,48097306060313
0x9b808abb664c27877b0c9f50ff732f0abb58e10f,46844045434763
0x20c4bea9cb334c104e65790c1e0b8c5f7cc3cd95,45900893843411
0xa3937639da6c3ab33131e7a180ea88d1aa433b49,45899028533445
0x4ea77963516a6f4299f6717736a3361367aa108a,45878552123426
0xf61a4bccb5186415f2965914056a001d0fd8d384,45445640150310
0x27e58e96f29f01a8f8ea570673d89252b1710fd1,45157695708794
0x742011bdceb08b509bc58a4cc987528dbd783122,44737497961392
0xb889d54e20e4ce3cdbe31fa91e2ecb0d85c574ae,44731391143554
0x65d2c15642bac558d3f12e1d5272b237e6a21987,44674304717106
0x4c15ec31fa42be1938d606a2c2160e16bc6300f5,44278987705808
0x39cc43b3068a208ae87042f927fb53b85586c654,43592527928102
0x9d1706e3f7ef3f724247c4b8359b0d5ab201727f,42070958656732
0x168ad38eaaea3e5c247cc90686c9caa7f09a39c0,40728228313690
0x51c16c57fcbaf4bf2e42f88dc2f7f1dfebbfaa71,40726774591779
0xcfe98786526c8b1d38d55c1ff24ab976f87a63fb,40563503511332
0xf7ea25088b5e9f72fa502430c354db95f5934eb3,40131504439772
0xfad3733e5df9ed8adb6af243ce690ca5280f0876,35698980927094
0x5e5aafa0bb65865f95e4b04771dd4060781d255b,30879165789241
0x5be90fdb0b87dece56b35bde6a42e9a5875c72f4,30829868576558
0x8092c278c5cb8d22d57bf66a5adbadd4eb14e827,30131733711466
0x5a7c742cc1c347ef8452f7d5636b439ec2311eef,28116605737200
0x7125adffaddbfe74e3f6e1e7c5567c48d8965cf4,28007934751682
0x718915c62f6f3b3df930e671ff81d0291a004210,28007575900998
0xb0af345c40f5f5e703c40905959e21571cfef283,27980935263321
0xd4e3fcdc166d8647fbc8d600301f47ff4b0b241a,27946841058807
0xc592a0df063e0c4db6265ffdd0e74110e848b7d5,27707652612555
0x8e6157be5297cde0e5c309213fd48f82fabcfc7d,27707301521265
0x2e89f9a96f0b4eef54096a1b797247d06469d69e,27706558778271
0xef897d43648848ea0b4bcd24257227e91be4f80d,27404155989299
0xfeae407dce6177cb8ad2fd6b63f178242f3649ee,27389278611606
0xe3411bb1d9940cbf6019244a775c2a49fa19512f,27388962193591
0x0e94f96325e06b239fb33c8205ae5057882e66d2,27359325519979
0x990eb8d01dc9946e88f0eec3d9f6867b4861f351,27358981860366
0xd25313f6567abeb93260bb15e1712f09038db53a,27047916227201
0x2b43be77dde898335f383ec72cf2c5f08675fa3b,27047581619581
