account,liquidity
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,1459976017416689847
0xe83e3ec894ee3a0508d6b1ad93136d74f7c632b9,1212943123432957869
0x25b5e511cadfb756b5e86a4d39e3bfb6be1c4079,995059974225718409
0xa3204f77f31b3876c785e90811cbba3c859aa262,4853299642242002
0xa1edcc0e8a7d055652a1eb584780ceadf3b00b5c,1515907512547581
0xee1b11a993cf65f551aced17153c30175312de5c,1459845220339337
0xfdd2858b68268bd7a99a51d4957d5ec00c411bad,1287064178343070
0xa8d3f6d1dea173a262f7ddb74a15c15858cb0113,1244031090642982
0x690adc7c6bd78094e0df05d25ac55f1353a020fc,667612326756290
0xcd7f12da0652da45d518d6e7f2ae2016069ca395,576740969596970
0x8c902b8839010bb1761201d42f788e7ed9fcfd77,479785345207805
0x2eadd7fd95e94d711e70c3d3b375cb31a9c35e32,362309452483564
0xaf585920e41b1236cf8115e172a2ee5e3d77cded,345850546867800
0xef897d43648848ea0b4bcd24257227e91be4f80d,289838345584083
0x1c2bb7c147901ed6c315a11aee740c491d707f6e,260208904113928
0x46f37d8341322e470d55d371a77a08e6f1c9f6d0,256232900088674
0x873aaedc9dddee8e4819d55453e6a772a62b753b,242756761479521
0x88291a897eda62e2da1160f1010e64adcdf9de11,239756865746207
0x771bf3f14cb89299ba5d9f846dd5cc89b376f861,226244264916424
0x4c8b6a1d9a1a019400ad8510fe106baddbcd8137,214807592291364
0x5e1e0f59774052344cad68939025f2d959bd6e79,210382053079050
0xc4b37f3d079284264ea1987f0438b57855e24227,180046316247163
0xe7559261a67f1aa93ba8a3612751cc9d5b14220a,158600408651661
0x22a0cf132666269f3069176b56526e392383980d,148256807084960
0x17507c1f64c72dec0fb8770dae3adc0fc9bb5e70,138620718547160
0xdd7724eff52c6ec5f2f7649eadd5025d890b3690,126325683121372
0xb64de2e7ccf2137928b8e7f55bd76d3537ec9854,122153399317488
0xd8b5b48aeacd91a4e223e3b04f99f05a21e4e9f9,116824070053428
0x4d1f4d63072d99344ff2d777373af93502db47bb,109029837153191
0xaf333436dc0cb8c11c63457193004f20674426c3,108417298905871
0x4bcddf737fe8581c1a19419d546ab0896da31759,107297560692995
0x4fe8bad5d9067154a63d4ee16d0a27ab9646ef18,97534038707604
0xc1557d0480f3035a387f3dea33c1282c67e909fc,96204938125583
