account,liquidity
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,19376726926579199
0xa7f17fdfadd349da1533c01784eeb59c9c6deb6f,7063434674534858
0x92f1a54835436ad1858018f11d017fce31756c17,195043491348043
0x4fd10cc0cd952b53fbaacd11c7da9733289b3f1d,170325586301688
0xa3204f77f31b3876c785e90811cbba3c859aa262,74751274465155
0xb66541e16fb55b812280921c7b3d1668eb5b22ed,1030623816157
0xf1fec77184fbb12e15ae1c554c23b286f6fff0bc,1017943581538
0xca70100e569011018cac695effa55e72317f4525,1011837031562
0x93b01366f1b131f2a9a573125386c0a30cc433a8,1002554005207
0x2083f4758050f572dae28c8ac8794b74efe5035c,664506810439
0xc96e9732bc429de5674dcde3a9f0f0d0da13a817,632950357299
0x3c179cc464258a7451cea6524aee9f04654e19a5,498220558226
0x9738e8da52ef361d6e338786c7b5edfda2efff9b,418654622682
0xf3b93bca534bb323e8e45da86b5f9d2a2d2000f2,289365717413
0xb4750b7d65e19720dad752905d47e71db4ca29bb,201638622189
0xa70fb966381e5b079799f7b4afc7cccf9b0a3640,201543940899
0x8d78611d56b69c6b35bf93f2336c1909362e42fc,187875407546
0xf18aa25f80c613cc352618be752246b887fb8a87,123155576812
0x979d4b2edcb81c88c1443ae22e98790ffe3bbe10,123154840659
0x46ecd03b36355b3bc6ef8125edb44166c5cbc300,123154104510
0x941eaa7e2bf156b64490e199340a8823be013ab0,107588421677
0x5c2984a94c0121d96d7f9b3535a8301405f67a30,101798397583
0x8950384c42e65e4ed42b1245c5e70182d980529d,100677727494
0x13304149bb89649a303be70740806a94c8291919,79497760114
0x77c9e49073d9830723195f3788570c2c36c97688,45254052176
0x2ed2e1dac429d35033112ea4f0dbb586001f4e05,38513651665
0x46d2b9d51a69ffa7faec57174df67db5b2d007ba,37984626299
0x422875df5170a421897e6af87d77fc1a78ba2d1c,36352294155
0xfc4a6dd146b3fad8c351c15039373effa3b006d5,34948490136
0x3b1df5c5f59cd1507c7f581935f37dd505b62eeb,25954694614
0x4c088067aab39ce9a237dbc4d3c63700d682280f,22463452139
0xc6047818118c61f6cb497e6a6d80c8fdb2667c2c,20921303716
0x84d82f5230dac9ad5d4d5b8ec7d5ff7697139048,20896175321
0x4c35f2875ac8b2419039ad8ade4e310eb7b1f777,20834219854
0x6590fafdf1d90bc1374985d7dbcfc575d2609a2c,20748281471
0x76f691e1d0485d5abad89143543352467e3b47ea,17529397573
0xdf1221f42a5bce4a6c3004f567af6013a3d38c21,17460713716
0x636ff008f6abd589e7f9025b39a182a7e4dc8c63,10904849686
0x2fc29db3253c2a539b4a42feeea8e122e09e9571,10656873247
0x6fe83791c4cc77a49b65eada3bf12dd5dea9e15d,8742036518
0x44d39e3433129daf2dd1795360f889fc36fcc75f,8702982252
