account,liquidity
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,1888074342045429962112691
0x9a13201dd8e702bdd575c430485b4837a7eb211a,9454903838054265153397
0x25b5e511cadfb756b5e86a4d39e3bfb6be1c4079,4106083116880562433983
0xd56ee5ba5a52e15f309108bdd6247c69b4f624c2,2830774906293791429129
0x71712a91717c7b300ac72376f19b61bcaff33735,1832215476703627659354
0x41486ed581f94de9a45a842e041496332add1df0,783493833489150664790
0xf1fec77184fbb12e15ae1c554c23b286f6fff0bc,581020653677646814543
0xfe1d34f6a0fae830e228296a5406aff236a7dce4,318304113996541775156
0xc2bd8049ed52c3ed0c3026fac5ecabc4f3da106b,253006900795201518553
0xcc09790228ce7b67fa517dcb121e7c255f3b463e,186901956689635031842
0x3a9b534d15aa643d90604cc404f9634f94a78b3e,162558047415921091954
0x66b45a538a284847e7e1d4d16ac9ecd31c3c438c,150585235150137193088
0x14c713e578228d1b6254941fc2ad7f6d299c869d,119992894037787769456
0xd37dad89b710445496270a38e91218e2aa5e44e2,94020294801790517438
0xf9140697226bc931b980100a9b0256e8c0717dda,86596827702425539740
0x81cec7a198d6cf03b9838511a33247fb7d4a68c7,81641585394101760639
0xa218d0ce0693c41a96f58667ba34f5f489e75628,76040286246321334485
0x6e470118e7d7d390053424f968b1cad26759754e,72944145761636973302
0xa411fb0d2c34e0bbfd082f98594672a019ce28ee,61695977088341589637
0x3b1df5c5f59cd1507c7f581935f37dd505b62eeb,60159088583629387937
0x5fc05b57e043ba2ef685de09a25330bed560b80b,53378772149105472536
0x8691abc3b6170d11aa3b46dba6d18db99a913ec6,51368185873744762869
0x89d74550fed73d7e3426ff2e9fca7fb389113475,51000000000000000000
0xa09b86ab42090462424278b5fa039cf22948e079,48058637341958692906
0x57690a10ef08c5fe019a9ee7e54f4539f7975748,47627668185418922568
0x73342f619780312b3f6d85af48c64aaf8c32315d,44278329402853227651
0x7a300fc5a947330ae0cb1797d5da0a6167c41faa,42909501701149198534
0x4e451868d6599526829920767afe8ed9020044a3,42751337576463981968
0xe4c55fb5c101f8918ff84d94c311b281832725b8,41141552408477630138
0xf3aa68cadb8f25ad25b054841df221d234b8b374,40000000000000000000
0x6c8afa9daa89a33252ce1ef59775584c0bd4ee8f,35883662323421885962
0x325ab8ce157814146297221712228f1005a198fb,34585696806328838049
0x5d23700537fdf99f4e24a1776ffa7ca905938a83,33072728263172342010
0xa51b8b756266ceebfcd7cd63bac23d9b84f8aa55,32848556303690552031
0x368dd8f7a3fb3425d437eda7c4391e812e572003,26244131603342296723
0x6ec8b8cec5645066fda40c6c6d6c3b749a565755,24838117263180712979
0xbc9d6de1f4275052a176f833b38138a259e61722,24635807465754801756
0x29ff9cf03488c843e5ec55a5517ccddb849d1e98,20072307946760852740
0xb1f0b017a8a1cf913056bd813c3e1958045feca4,20000000000000000000
0x9d1df8229c6f23b84cad1d5e34b04bb6f4564cf8,12160502818817604221
0x98c3df85706a464e48d6b4a555b46847c0a297c5,11172104052286465111
0xee0679d220487b38a9afb90ba46be29ac5c899c1,10625812153532174572
0xd2881cda4aca733e5ba73b75196913e4a1c9d916,10000000000000000000
0x580b448ee96247231599858dd8f699f7567751e7,10000000000000000000
0x420703a2a90726c88b250bc05b747d47a52cbf28,10000000000000000000
0x220a6cb04d48ca2c33735e94df78c17f8b0f7c9f,10000000000000000000
0x7b6f142a6c104e49e4171b6158c43133f37e87ef,8970643020404414008
0x2824301e7d506c72ee636109c79697a898bd81c8,8926558809022127011
0xd0178b78e5e69bb61ef0855c16a112927c25b26a,7891448316165763625
0x9a9b5619ffc2b5f53b68c38e72aff05e09986b43,7732111924434646301
0x2770cc147ad937c6eaad15aaf7f4383daeb70ee6,7118509402212872833
0x77c20f2a2c6770db821662d312539d5cd5c78bc9,5719951663439593116
0x13304149bb89649a303be70740806a94c8291919,5654599488474929157
0x05ed052f0b544fa3226bb21074faa726f80989c4,5066521457851217691
0x648caa53225e8f7d5c39862c36d19883633bfef1,4359161851643346982
0x978ac79d71fdf5d8166ce7a861e5cfc19929a2b5,4290181060619311919
0xed31cdb4c84cb334eaf4f9a5e4ca7e3f7e7fd2ad,4202328303769371874
0x1385651dea73c07fcaac9fc91f762b7fe7b6ba2e,4202321840055292627
0x51cc6f481946f2425ed101316b3bab98d24a1a14,4202315376371039327
0xc66f0330c548c25503566d62d2be2b12108a1156,4202308912716611739
0x570e6a369a59120c5c6fa5a59bf86b4803d389ae,4202302449784420997
0x16dd249672fb99ba38b762820871b01003f9ba7e,4202295986882049122
0x7abdecdf61d63f772a3be6460599c70b26b5ba2b,4202289524009495883
0xf3d1026994ba9dd571f100406440bc4e44bc9a21,4202283061166761055
0xa26389b841ab4b9b61c6414f653927d92aef7e95,4202276598353844406
0xb4dc61ada3901a28fa9e05835e3dc88dc568635c,4202270135570745707
0xe93551f23dc5d97c4a9ab8b03429cafcb0e88f1e,4201573774658660103
0x8a301dda1c2111377087a42df5bb9e84bf8cdd36,4201573774658660103
0x7b2f5b6449d130286cbe2509ea8f590e89f6353a,4201573774658660103
0x728346025382e4ff93dbad29074828ff35005853,4201573774658660103
0x64497aec862bacf01ea093acf378dc2fa694df28,4201573774658660103
0x2ed30e2398fc8483bda8078b3ba58a7e48b7ceca,4201573774658660103
0x2eb899e6a20c5b27dfd5c56f40ab50240940536a,4201573774658660103
0x2b95f417e6f85547b31c026b7238ee5856fb6059,4201573774658660103
0x09345399ecb838e0914c371d7cdff5dd3193fc56,4201573774658660103
0x17ca84b172c996d0cbde676cafcabf07e916988a,4197267941164950534
0x10a54aead5e187aa082a60feb49dd5574cd6e21b,4197261493826632008
0x8abf176b5f7430edbdd06f98e9a2b5cac9def764,4197255046518024266
0x23067511d5f1a41176a17073b0b7d639cb808209,4197248599239127085
0x6f53b05ae8da3764acb1801ca86c5fd8d3a901bf,4197242151989940232
0x72c63962b3ae4391f036df550895df9cee35ac2c,4197235704770463482
0x4ecbd22e570b9e5b1376c8756625b7ec39a5e97d,4197229257580696605
0xfe9a26f208499588406ce9e68147eccabd06a05b,4197222810420639373
0x988ae1a7673fb5176a3f2c1e2727b091c60e657f,4197216363290291558
0xee5d85b83bcb0e9fa2f6709a4ad0634d54827269,4197209916189652934
0xdd0ae6d0a3f455319aa2539feca99aaf8899b0c7,4197203469118723269
0x4d9ad37e8b8f6fd7e72c23c56fd4f8a6620bb35d,4197197022077502337
0x8c5bcaef372b579e647175507bc950c1c2462cf7,4197190575065989911
0x38358beeed2ed64825d0ce29def900efdeb518e1,4197184128084185759
0x58a355f6d1be1fb6be984f7372b9ca8eca8c1a99,4197177681132089657
0xe6fb6880ae313746093edf3d4233be20946ea774,4197171234209701375
0x3f4435b7e2b1fc4374a2091fb1b20c0579b10ff1,4197164787317020685
0x252cd711b941f54459939dc8b5d48f92dc9d9391,4197158340454047359
0xf2f332a1116912bda630e045a1c83cc189531ad6,4197151893620781167
0xe5eb7ad6b4d61143fc23b33bc3dcb60abdb2e3b8,4197151893620781167
0xe119ff94640e7cb37965c0ee310d212bd7f74b24,4197151893620781167
0xde5a1601599887b91bcc41da37de17e962ce16c7,4197151893620781167
0xd374b7726584d63f76976f541172f2dfda7aa97f,4197151893620781167
0xd21ddf875f5ef8b979e74af55765c73f47ebf2a3,4197151893620781167
0x71bb715af69772e69ce13c0bac59c957c62d17e4,4197151893620781167
0x3c826d24c16d6a41bd48f7275876dae2dc81494f,4197151893620781167
0x238820c8fa47f2f99d2698a52b79d8b3fef90b11,4197151893620781167
0x22d4f3ab2ba6b3077cf309b3f8be6cae1dba31b6,4197151893620781167
0x0caa46ccbe2ee16ea2f807d469761da1e6f39366,4197151893620781167
0x34ec72af1d77ed0ca0bda1fd7c65bc0e371aadf1,4183037730211373587
0x85a1bec71078b64e9eaa99c11febf3e56f6cdd10,4096767272214743788
0xed28a1ae3bb53db164f26e4370e9b13c2575a3ce,3952536956109479055
0xc26f25c2f3b563a968fb645c70d9cac9a215a536,3271831775403232448
0xbdd7e6a679121fd2c449c50ddc8030082a6c6130,2687466176849690868
0xe4036aca909cd049f9a7b7333961e1c1db7fb35c,2458484840231783931
0x3713f542c234b6853f310ea12d5ce7f2c0201ef0,2184000000000000000
0xe6728ba3900e3af4ff20861911fcd7b37abddf4c,1863377338007474681
0xa807902fbcb8b9692333fd6a5be5645f053d3ed8,1819662566567260224
0x2ee1d96cb76579e2c64c9bb045443fb3849491d2,1288264023551521312
0x961caec9948e1cc91c97e08f4e328a613e5e2180,1257751544989611015
0xee6d5df460b3a3a3495c9aa257c9a55e0a4cfc5b,1253779663206217444
0x2abeebf87cbf5dd52a829f592c5dfb096b7c1b33,1251537903571290215
0x6f4ecb6e961316be19647b1dccb5c242fa131ced,1225965409334197471
0xba574c8e420efd0129c885ff28d500101f617fbf,1073630503297442303
0x85c562eff1aaa2ad1ffb9985979575231fadb2b8,1030927521059662437
0x2eabb1437f200a915ec69706078e920641d8a4da,1021802092199699166
0x29a1ca723c7ea96bb522d77b830490708779c866,1000004804624590918
0xeef89a5e1fb057549e8dbf923622d10c72047844,1000000000000000000
0x9e427bfa5b0b705bbe91f58107b92e1aebb53b06,1000000000000000000
0x09f82982c42816e16c674663f3d0b90b616c4aa7,1000000000000000000
0x37d209c306d7c4e31db785fe9ba01923f4ed332b,980815854898736929
0xe390caa93801507086e2fcade6a497e0c12c7d95,930506632070119439
0xb8a91b37577625c7a67c395fb0a126ae22ca24d3,628875772494805507
0xa7c45ab202c0e5f7eeb758ed25c85d4d0fa422d4,628875772494805507
0x7b332f582470e5d9dab664a8e3655cafe888e5b6,628875772494805507
0x3fbb3a2518f632ab2806aed963972cc2b807995a,628416380386415275
0x7d41fbda5b1c05bc20e2a71806a4248ba2509b3c,628253066285474167
0x81a5f09a6af0737373ad1b5d032d955f9cfee758,628085760221168494
0xc89ff8d4d4f18fc27e1772c194ab8ef6ce8ed101,626889831603108721
0x80a7fbaf8f11c2e5533dedb03cf4d54f45085900,626889831603108721
0x5fe2c2ed2edd677bc289ba0deeed8bfefcfa1bcf,626889831603108721
0x4e2647d49c0aa3e48515dfcdd3be44e5a5aa420d,626889831603108721
0x5bdd42cb10915756f0658af509a97b34db908e2d,595855347505801525
0x7b3860d2740201932019eab319c667259b482f0f,585097158097183650
0xe624882d050e523617b3fa94b4bd4a1de83080ff,563925233694521113
0xad458152a65adce84cadddc1a4f4734dad3f137e,529593040772957394
0xd1719c78d22e305191f9984b8e1b8e635845ece1,514143028870096794
0xd67bec1aedbc2bfe76165610c9d73de24b5fdf7b,431629802502285038
0x29a4abe5cd0f23af03ae9022212583ea991aed73,402578050784542539
0xac880017cc6c900336b6776c56b9ea3986a3927a,394653483225162807
0x23e1b9130c30821a8895a7ec9059198ceb4a756a,371060024687600524
0x0ac5faf7777cb96934d1e992598ee584da64ad58,214505804885865798
