account,liquidity
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,732676462253889491312425
0xfe7bcb3676aabe9a6b39cb23f3a5fa41eed7ad1b,13118561464048033192977
0xa3204f77f31b3876c785e90811cbba3c859aa262,4316253300931322051297
0x2fd2ed8f261cac5083af5a24bcc720981f7018b1,2917166220338891980919
0x4fd10cc0cd952b53fbaacd11c7da9733289b3f1d,1516932304959693931298
0x43718dc1c10027f9f67807bbcefb97cdd289509f,723608269806103790730
0x0edbd50499b76a08ad8c204133a3c712b8099b7a,423419886062181285955
0x7fd536b97cac14f29dc53b3ea917e2ab10dcad20,261604847532017907804
0x11e1b574f94ba602d73f8a02503dc43e016da191,259562731281926878835
0xf79607a648526b6388744391a7cfde846a169d32,259403431659009638747
0x44ffc305c850ef2f74e32777421934ad188a737d,259392248696933902194
0x5470a46b76124f3752743536ed8c384b40ac440d,259142154866958810397
0x40c15c5372af7880e116717e5cbca9c7be3cc710,259053550313759086992
0x991d177cef2d3bdf531e5882a461c8502f6c2124,213138471270440561764
0x27a90a8e45cbe36bff37d8bbfb321bfbfc0db90e,212965741254189596260
0x5fa7daba370be59b5c7f11840bb9db4518bd3158,212005207219506107249
0x0e37c7596dfadb6f4428cb287c13ab4d7f6349bc,211798808863542066087
0x689b9f0fc22256d6c1062b767b941e3f7f1f5bf3,159279960970355622867
0xaf3898b74f0db6ae5152fc0a74322af2abca5938,149464416758583240740
0x95930b38beada75884657ce066dacd78b1025059,123253321648086909759
0x92acf1b7bf6e675736e8ef05a55b99519cc922f7,112846249719043694427
0x6bb1779dbf3ec67a7c5b2bd6b7e09fc9e1716320,90434195089944858249
0x92f1a54835436ad1858018f11d017fce31756c17,83383031414789651660
0xde44a5fe44ef0fd59182919c438f293c3c9ff921,80767431356046660846
0xf4fdaf375a3ac638bc120d334aab5414c42bb023,80758697888726966590
0x97569982f729bff7b351877219f373af8951e87a,77079790073135419954
0xff36b9cb75c9178841d8b75baf9776bfa59fbe9d,64306728498755878930
0x5ca4002127b49913ebf952eef02203d51a3f2664,61479281893043729789
0x8b88d8eab56d67941c7aac650249c79bc7b9285b,60090626117920953350
0xf9c68d2ba5946b433c6f7695b4b9308aa103a32d,56105205394990350039
0x56763ff95106241dc1e8fd460d4a6d854cdd99bc,53037754729533166075
0x2083f4758050f572dae28c8ac8794b74efe5035c,49873138863980969023
0x951ac786db2ce03ccb335a0ca41f2f2abb158dc4,49229244466517096084
0x0e6aed5b0a6d815c21512d928221773f9bd124f2,42169934998371506972
0xf1f19e6c8c6420c0a363a0c9727a101bbf926814,42023802787230239413
0xacdcb3560e30cc35cba9bca238305c13b5039eb1,41251237119837041367
0x887209e29266ddfe4d998d9ff1ca7dba303b5675,40783913930971370248
0x5ab71aa77e18251166bd9f2b233e7e52505a02e2,37989948227349885323
0x9ea080ddbd934607616fd94111cb7825a5d18d12,37717975501289026698
0xe4611eedfb9a43e978c8066b5093394d011d57e9,32975312280535097023
0xce8e4dbdb2046a23d6d32092ce26690a13524e14,32028247286657763538
0x4bac4843f4c630844123aaeece25145ff625932c,31847025623745041585
0x1fb9580e0b19956b90351c825ae7819f1ee0257b,31169917398816776142
0xb882b087bd80a0258f19d907849c8d64cac3dba1,31137088336367672147
0x97dc7fc6f43e19f7c4dfac6a8ba33a9e77be7e5f,30614055934598483520
0xd0a90de8fdd801340b29429dbec24a49e3c53f20,30245045547979810388
0x17792c920846e5734f036e74faad3446dcd8f774,29404053832174281569
0x6d4f028ef04185cdb326b5a47629beb5eec28cb1,29271813508255472792
0x641f2f8cd5fb6cb50a49c22247b065cd893a1fc7,27405797555989947875
0x080676942b40c19a45dc5886e7d45ee0a5a25068,27058698689892655223
0xd67b078d0314cfc5d7815bf1d0b6d5009c7d99ac,25389460902703794211
0x5e6ee97f04744d72c8e739f56864080f16e3873f,24502658804344091660
0x1460dd527873989146809516c64caa3294ef21ac,24439706127085499434
0x3f013e0ea93d87c4d109043d4c0a3f60d8012c38,24277065436598318408
0x446205cc9a765d68d0a01646853b43675e7b2645,23910262343241016910
0x0741f6ef7b7438eee80a30513633010222f6d9dc,23893613966649134084
0x4141d977a56af6156b2c3fdc5fd09af1ce820d2c,23771793529108366608
0xbcd56a01bf5ddcbd5df4b252eba4ae63aabf3ab2,23333818549347706877
0x6343cb2284eef6520aaef9166f9c8c8fe7f81a7d,23306817545148817775
0xe3ac13d508ed25748ce8a4e71cec0b375728fa61,22967226904022553449
0xa4e81e645fe301c23fb4220eb2455921a14997d6,22377893213137813413
0x867967a6f70fb4756c9d051a036a77a88b72307c,22135513770606524266
0xdb21be373c9e3a308c4bf68b274f597c60cf1d20,22134456335121766153
0x1c8e420e716a3e2ea4b0d0347e04873ccabe8634,21669016263141878524
0xf794916ae805ad50dbcdd544d2db0116c0e31557,21435785253927074843
0xe79cae52c529b371427b621f4a7537a0edf92c57,21319495884598317476
0x7f15a59b1263502639a5ee18af9417c6c36c0939,21308985474776270385
0x0d98fc1d1b6914ed15b06595af7b5f8b74e415b0,21124854388779809514
