account,liquidity
0xd2c2e7a01497e223af2de23f8844f1499fd4b30d,3239967.62172
0x1ba725d2ba56482f11fee3642f1c739d25018e4d,2695946.33343
0x25b5e511cadfb756b5e86a4d39e3bfb6be1c4079,1164760.81879
0xfe7bcb3676aabe9a6b39cb23f3a5fa41eed7ad1b,667978.15410
0xacf00a84559f536ba64064a4c73b74698013ef36,587625.94056
0x08fdeaa24399f38ef11ea95473ec638bfdecde95,514532.82335
0xe83e3ec894ee3a0508d6b1ad93136d74f7c632b9,426940.99645
0x6429303b3c394be140e81a56bfac87c1c2267e45,403715.46943
0xde5914a97cc5066751624f053d719f67a4d69383,293077.68406
0xeb1c3f49817fbbbce87a48540d9f9991bb95ceb8,276571.85699
0xda9b7f48f1ec4114e5707859eca6e2bc31c2c6cb,155331.28601
0xe4ae54534d2c2a24b915292475c176376a103b6a,154696.47073
0xa3c894ecb0f84a1fd0109756d360de57f682832f,132106.73707
0x4c673817a3695539145d7980b40f6f0f328dd1b2,95925.00000
0xa7f17fdfadd349da1533c01784eeb59c9c6deb6f,53451.04584
0x1781d2e9b4c7c0a3657411a64d2c1dfc50118772,52008.94547
0xa3204f77f31b3876c785e90811cbba3c859aa262,26870.76335
0x9b4cf5d754455fd3bc4212dcff1b085dbcd5b0c0,19777.06455
0x9dc26014bca02a5dda768113827dd24288fc171d,7290.73829
0x2c349a5386a5b9ddc089df9132c494a2d7424e38,6437.80503
0x83e7e97c4e92d56c0653f92d9b0c0b70288119b8,5770.94279
0x4fd10cc0cd952b53fbaacd11c7da9733289b3f1d,2982.00604
0x92f1a54835436ad1858018f11d017fce31756c17,2899.19965
0x2e758e5dac38be0746ded7ba0ab5ec3d08ed1085,2672.55706
0x94e5621fbc9c02822e0733ec996ff3bf2d5edac6,1211.55072
0x2eadd7fd95e94d711e70c3d3b375cb31a9c35e32,1083.14439
0x2fd2ed8f261cac5083af5a24bcc720981f7018b1,1076.72560
0x9a06c375a91043093fecf781660f4391eb9229f9,1052.02126
0x38c8db67047146f9b0e6e185aa57eaeb67c6f1ad,974.62304
0x70b69c166d8e61e29b0047aaaaf6e45e06243c18,963.90459
0xa1edcc0e8a7d055652a1eb584780ceadf3b00b5c,858.15766
0x7387e578788e03995f39455644f8794733ec1814,777.70923
0xac1552431532591a58bcedd3ad416637fdb650f6,527.05055
0xee1b11a993cf65f551aced17153c30175312de5c,513.84748
0xa8d3f6d1dea173a262f7ddb74a15c15858cb0113,493.35148
0xfdd2858b68268bd7a99a51d4957d5ec00c411bad,453.03069
0xcc1407c05ec391655f93c3a3dd40a6134434f7f7,422.82917
0x4e772af7ebd59018fc7b807091744f926d8001ae,376.93652
0x18d291c759aee27570c79290d567c87497a16f4c,334.82070
0x18ecb1afd1cacedfce0a36e283d3d1a90a7350ff,333.53503
0x426e30e1b9b9ab1a381e5795aa9c4c87146cf95e,329.65859
0xfb2fc8018ca6e75cb6ba309f29e077e0923c5430,282.11312
0xae370cdcda808d2b513d7b935ae27abe25d4b188,274.69781
0x43718dc1c10027f9f67807bbcefb97cdd289509f,267.08370
0x01bd71dad581a878bfb1bea0de88a668cae69d87,266.37223
0x4a5b2263bf9d325e7112e985420cee9f71b5ddc3,256.38284
0xe989d6d788637490c864e708dda1a8f8ed8004df,256.30689
0x9a13201dd8e702bdd575c430485b4837a7eb211a,250.89551
0x690adc7c6bd78094e0df05d25ac55f1353a020fc,234.99129
0xdcbc04c11434c474947f6e7cdaa00518d3e54597,229.05739
0xaeeae62b70036ef56a53477e6de93d40b9e59983,208.72062
0xbb2147eca5ad9f75187eebad8ce23f023c14619d,205.90818
0x221cb933454f6e57a16746384273e22ac04209e1,204.77189
0x8a6e1b15ac7681b13d134c0d5baaa61841958751,204.02512
0xcd7f12da0652da45d518d6e7f2ae2016069ca395,203.00570
0x382316aaae667a7411f3aecf228de6b1c3052e80,181.51503
0xef897d43648848ea0b4bcd24257227e91be4f80d,172.69563
0x8c902b8839010bb1761201d42f788e7ed9fcfd77,168.87851
0xa9236a56770ec28077d93afce0df1f1820c2aa52,164.71484
0x882802e24e5cb07c2e892e29e414ed6f79e5f364,162.89950
0x0edbd50499b76a08ad8c204133a3c712b8099b7a,156.28421
0x0dcbedc9fc5fa95f33e27ddf57080241e0c6a6b6,152.20940
0x4b02d1ee2b6b61e90bd6372db228cbbdfe996d7d,151.81483
0x6da0c6b84a8ac5c41f7a30f470f5893f908a7449,151.75502
0x0eaeac909dde9e2528a785a8afb52027cf845bc8,148.74031
0xe12b407fcac9ea8ea1d2ccbeaeca1a04499a0637,123.89914
